event	gn_node	lower_sp_node	upper_sp_node	lower_age	upper_age	gn_node_num
D	n54	47	n170	435.32407462	1000	35
D	n43	42	40	96.4623891700001	158.59758758	39
D	n27	42	40	96.4623891700001	158.59758758	40
D	n23	42	40	96.4623891700001	158.59758758	41
D	n17	42	40	96.4623891700001	158.59758758	42
D	n16	Oryctolagus_cuniculus	29	1.13686837721616e-13	82.1407988900001	47
D	n52	Monodelphis_domestica	40	1.13686837721616e-13	158.59758758	58
D	n50	Monodelphis_domestica	40	1.13686837721616e-13	158.59758758	59
D	n48	Monodelphis_domestica	40	1.13686837721616e-13	158.59758758	60
D	n46	Monodelphis_domestica	40	1.13686837721616e-13	158.59758758	61
S(R)	n64	1	1	435.32407462	435.32407462	34
S	n4	15	15	351.75848322	351.75848322	36
S	n2	6	6	279.65697667	279.65697667	37
S	n53	12	12	158.59758758	158.59758758	38
S	n13	13	13	96.4623891700001	96.4623891700001	43
S	n11	19	19	77.7549564100001	77.7549564100001	44
S	n9	7	7	61.9659885200001	61.9659885200001	45
S	n7	20	20	24.6000000000001	24.6000000000001	46
S	n22	11	11	43.1512963500001	43.1512963500001	48
S	n20	8	8	29.4415468200001	29.4415468200001	49
S	n26	18	18	20.8874174000001	20.8874174000001	50
S	n42	13	13	96.4623891700001	96.4623891700001	51
S	n38	14	14	89.8231874200001	89.8231874200001	52
S	n32	11	11	43.1512963500001	43.1512963500001	53
S	n30	8	8	29.4415468200001	29.4415468200001	54
S	n37	9	9	82.1407988900001	82.1407988900001	55
S	n35	18	18	20.8874174000001	20.8874174000001	56
S	n41	7	7	61.9659885200001	61.9659885200001	57
S	n63	2	2	229.90276097	229.90276097	62
S	n57	3	3	152.58543177	152.58543177	63
S	n62	4	4	148	148	64
S	n60	5	5	119.36353222	119.36353222	65
