event	gn_node	lower_sp_node	upper_sp_node	lower_age	upper_age	gn_node_num
D	n70	51	47	311.90392137	351.75848322	45
D	n68	51	47	311.90392137	351.75848322	46
D	n67	42	40	96.4623891700001	158.59758758	48
D	n63	42	40	96.4623891700001	158.59758758	49
D	n7	9	22	24.6000000000001	61.9659885200001	51
D	n32	Callithrix_jacchus	35	1.13686837721616e-13	43.1512963500001	56
D	n30	Callithrix_jacchus	35	1.13686837721616e-13	43.1512963500001	57
D	n28	Callithrix_jacchus	35	1.13686837721616e-13	43.1512963500001	58
D	n22	Callithrix_jacchus	35	1.13686837721616e-13	43.1512963500001	59
D	n12	Callithrix_jacchus	35	1.13686837721616e-13	43.1512963500001	60
D	n21	Callithrix_jacchus	35	1.13686837721616e-13	43.1512963500001	61
D	n15	Callithrix_jacchus	35	1.13686837721616e-13	43.1512963500001	62
D	n20	Callithrix_jacchus	35	1.13686837721616e-13	43.1512963500001	63
D	n18	Callithrix_jacchus	35	1.13686837721616e-13	43.1512963500001	64
D	n27	Callithrix_jacchus	35	1.13686837721616e-13	43.1512963500001	65
D	n25	Callithrix_jacchus	35	1.13686837721616e-13	43.1512963500001	66
D	n35	Macaca_mulatta	27	1.13686837721616e-13	29.4415468200001	68
D	n59	Oryctolagus_cuniculus	29	1.13686837721616e-13	82.1407988900001	69
D	n55	Oryctolagus_cuniculus	29	1.13686837721616e-13	82.1407988900001	70
D	n41	Oryctolagus_cuniculus	29	1.13686837721616e-13	82.1407988900001	71
D	n54	Oryctolagus_cuniculus	29	1.13686837721616e-13	82.1407988900001	72
D	n52	Oryctolagus_cuniculus	29	1.13686837721616e-13	82.1407988900001	73
D	n44	Oryctolagus_cuniculus	29	1.13686837721616e-13	82.1407988900001	74
D	n51	Oryctolagus_cuniculus	29	1.13686837721616e-13	82.1407988900001	75
D	n49	Oryctolagus_cuniculus	29	1.13686837721616e-13	82.1407988900001	76
D	n47	Oryctolagus_cuniculus	29	1.13686837721616e-13	82.1407988900001	77
D	n58	Oryctolagus_cuniculus	29	1.13686837721616e-13	82.1407988900001	78
D	n81	10	n206	435.32407462	1000	80
S(R)	n82	1	1	435.32407462	435.32407462	43
S	n72	15	15	351.75848322	351.75848322	44
S	n2	17	17	311.90392137	311.90392137	47
S	n9	7	7	61.9659885200001	61.9659885200001	50
S	n5	20	20	24.6000000000001	24.6000000000001	52
S	n62	13	13	96.4623891700001	96.4623891700001	53
S	n60	14	14	89.8231874200001	89.8231874200001	54
S	n38	11	11	43.1512963500001	43.1512963500001	55
S	n37	8	8	29.4415468200001	29.4415468200001	67
S	n66	18	18	20.8874174000001	20.8874174000001	79
S	n79	2	2	229.90276097	229.90276097	81
S	n77	4	4	148	148	82
S	n75	5	5	119.36353222	119.36353222	83
